City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,petropavlovsk-kamchatsky,53.0452,158.6483,-15.86,78,20,5.36,RU,1704663138
83,vryburg,-26.9566,24.7284,20.89,67,98,4.1,ZA,1704663139
84,khandyga,62.6667,135.6,-48.84,100,97,0.92,RU,1704663139
85,tolanaro,-25.0319,46.9987,23.04,100,75,6.17,MG,1704663140
86,titao,13.7667,-2.0667,26.21,13,42,4.26,BF,1704663140
87,paoua,7.2427,16.4406,22.19,17,72,1.65,CF,1704663141
88,puerto baquerizo moreno,-0.9,-89.6,29.55,62,20,5.14,EC,1704663142
89,poteau,35.0537,-94.6236,13.88,30,0,0.0,US,1704663017
90,atafu village,-8.5421,-172.5159,26.27,76,100,3.44,TK,1704663143
91,gaspe,48.8334,-64.4819,-7.05,67,75,1.54,CA,1704663009
92,hawaiian paradise park,19.5933,-154.9731,25.73,90,40,4.12,US,1704663143
93,kenai,60.5544,-151.2583,2.83,90,100,4.12,US,1704663144
94,azogues,-2.7333,-78.8333,17.97,77,100,3.0,EC,1704663144
95,newman,37.3138,-121.0208,11.13,47,0,7.6,US,1704663145
96,aykhal,66.0,111.5,-27.04,99,100,2.32,RU,1704663145
97,west island,-12.1568,96.8225,26.99,83,40,7.72,CC,1704663145
98,nyurba,63.2842,118.3319,-24.91,99,99,0.5,RU,1704663146
99,dudinka,69.4058,86.1778,-20.77,98,100,8.05,RU,1704663146
100,horsham,51.064,-0.3272,3.48,74,75,4.63,GB,1704662293
101,tralee,52.2704,-9.7026,1.73,91,0,2.85,IE,1704663147
102,invercargill,-46.4,168.35,15.01,88,100,0.45,NZ,1704663147
103,assare,-6.8744,-39.875,26.99,51,28,0.74,BR,1704663148
104,puerto ayora,-0.7393,-90.3518,29.98,89,99,2.68,EC,1704663149
105,morondava,-20.2833,44.2833,27.08,86,100,1.52,MG,1704663149
106,torghay,49.6339,63.4981,-0.28,95,100,9.46,KZ,1704663150
107,bredasdorp,-34.5322,20.0403,17.16,70,78,1.61,ZA,1704663150
108,coquimbo,-29.9533,-71.3436,20.85,68,20,6.17,CL,1704662596
109,callao,-12.0667,-77.15,25.16,69,0,7.72,PE,1704663152
110,midvagur,62.0511,-7.1939,4.46,81,100,4.12,FO,1704663152
111,reggane,26.7158,0.1714,17.8,23,100,3.62,DZ,1704663153
112,cranbrook,49.4999,-115.7688,-3.09,68,75,4.63,CA,1704663154
113,boa vista,2.8197,-60.6733,32.99,38,20,6.69,BR,1704663154
114,punta arenas,-53.15,-70.9167,12.06,43,0,11.83,CL,1704663155
115,villa gesell,-37.2639,-56.973,21.7,79,80,6.24,AR,1704663155
116,arar,30.9753,41.0381,9.01,61,0,3.09,SA,1704663157
117,lethem,3.3803,-59.7968,33.03,49,40,6.17,GY,1704663158
118,rio grande,-32.035,-52.0986,28.06,88,100,4.99,BR,1704663102
119,balykshi,47.0667,51.8667,-3.0,80,75,7.0,KZ,1704663160
120,klyuchi,52.2667,79.1667,-1.52,96,100,9.77,RU,1704663160
121,kanigiri,15.4,79.5167,21.37,87,75,2.26,IN,1704663161
122,ain taya,36.7933,3.2869,9.91,66,40,5.66,DZ,1704663161
123,kirakira,-10.4544,161.9205,28.87,74,23,1.11,SB,1704663162
124,jianshui,23.6363,102.8264,10.0,96,28,0.83,CN,1704663163
125,mto wa mbu,-3.35,35.85,20.94,90,86,0.09,TZ,1704663164
126,east london,-33.0153,27.9116,19.86,89,89,2.68,ZA,1704663164
127,nova sintra,14.8667,-24.7167,21.63,72,0,5.36,CV,1704663165
128,katsuren-haebaru,26.3369,127.8719,16.43,63,75,2.06,JP,1704663166
129,brooks,50.5834,-111.8851,-12.01,72,100,5.66,CA,1704663013
130,villamontes,-21.25,-63.5,38.2,25,0,5.49,BO,1704663167
131,kavieng,-2.5744,150.7967,28.53,74,92,1.76,PG,1704663167
132,ribeira brava,32.65,-17.0667,21.67,87,100,2.53,PT,1704663168
133,aioun,16.6614,-9.6149,23.9,12,0,4.6,MR,1704663169
134,mount pearl,47.5166,-52.7813,-4.36,78,20,12.86,CA,1704663169
135,mount isa,-20.7333,139.5,23.87,94,93,2.57,AU,1704663046
136,kill devil hills,36.0307,-75.676,12.21,63,0,4.63,US,1704663170
137,changde,29.0464,111.6783,7.33,67,97,1.28,CN,1704663171
138,sinan,34.8262,126.1086,-3.94,61,91,6.25,KR,1704663171
139,labrador city,52.9463,-66.9114,-26.05,76,20,1.03,CA,1704663010
140,ciampino,41.8016,12.6066,10.72,93,40,3.6,IT,1704663172
141,shihezi,44.3,86.0333,-10.5,86,10,0.92,CN,1704663173
142,matoury,4.8483,-52.3317,27.98,69,0,3.09,GF,1704663174
143,zinjibar,13.1287,45.3807,23.97,71,25,3.69,YE,1704663175
144,klaksvik,62.2266,-6.589,4.51,73,19,5.31,FO,1704663175
145,canutama,-6.5339,-64.3831,27.75,83,88,0.64,BR,1704663176
146,vytegra,61.0064,36.4481,-17.02,98,96,3.13,RU,1704663176
147,port elizabeth,-33.918,25.5701,19.62,83,20,1.54,ZA,1704662919
148,yuzhno-kurilsk,44.0306,145.8556,-1.46,79,82,5.34,RU,1704663177
149,xining,36.6167,101.7667,-4.81,31,17,0.96,CN,1704663178
150,mamuju,-2.6748,118.8885,25.93,84,100,1.68,ID,1704663178
151,chibougamau,49.9168,-74.3659,-12.21,85,100,3.6,CA,1704663179
152,paracale,14.2804,122.7881,24.45,93,78,4.37,PH,1704663179
153,constantia,44.1833,28.65,8.38,96,100,5.48,RO,1704663180
154,anadyr,64.75,177.4833,-13.72,92,100,9.0,RU,1704663180
155,renfrew,55.872,-4.3925,2.02,91,25,1.03,GB,1704663168
156,nar'yan-mar,67.6713,53.087,-9.94,95,97,4.47,RU,1704663181
157,nuku'alofa,-21.1333,-175.2,29.19,84,75,3.6,TO,1704663182
158,manaquiri,-3.3167,-60.35,32.25,74,81,1.56,BR,1704663183
159,nagqu,31.5,92.0,-15.79,52,0,1.7,CN,1704663184
160,tazovsky,67.4667,78.7,-25.44,98,49,2.75,RU,1704663184
161,fortuna,40.5982,-124.1573,10.92,75,20,1.34,US,1704663185
162,la passe,45.5549,-0.8967,5.13,82,58,5.18,FR,1704663186
163,east ballina,-28.8667,153.5833,23.78,77,92,0.96,AU,1704663187
164,kourou,5.1552,-52.6478,28.03,80,85,2.59,GF,1704663187
165,sitangkai,4.6628,119.3928,27.82,79,99,3.68,PH,1704663188
166,margaret river,-33.95,115.0667,16.28,76,89,2.7,AU,1704663188
167,lowestoft,52.4752,1.7516,3.9,68,65,6.3,GB,1704663189
168,salinas,36.6777,-121.6555,13.49,50,0,3.09,US,1704663006
169,georgetown,5.4112,100.3354,24.97,90,20,1.54,MY,1704663018
170,novodvinsk,64.4165,40.8122,-11.14,96,97,2.5,RU,1704663191
171,pemangkat,1.1667,108.9667,24.74,90,100,2.11,ID,1704663192
172,college,64.8569,-147.8028,-9.95,78,100,2.06,US,1704663193
173,daru,-9.0763,143.2092,24.76,95,100,2.59,PG,1704663193
174,olinda,-8.0089,-34.8553,28.85,70,20,3.6,BR,1704663009
175,galliano,29.4422,-90.2992,15.0,51,0,2.57,US,1704663194
176,carnarvon,-24.8667,113.6333,22.68,85,0,6.27,AU,1704662967
177,stanley,54.868,-1.6985,2.66,94,20,0.51,GB,1704663195
178,jurilovca,44.7667,28.8667,5.05,99,100,3.6,RO,1704663196
179,polyarnyy,69.1989,33.4478,-4.54,86,86,9.51,RU,1704663197
180,kailua-kona,19.6406,-155.9956,26.82,73,75,4.12,US,1704663121
181,thohoyandou,-22.9456,30.485,22.36,51,0,0.78,ZA,1704663200
182,refahiye,39.9008,38.7667,-1.02,65,100,2.31,TR,1704663202
183,nova londrina,-22.7658,-52.985,31.85,37,96,2.24,BR,1704663203
184,amal,59.051,12.7049,-15.31,97,29,1.87,SE,1704663204
185,bikenibeu village,1.3673,173.1241,28.98,84,75,3.09,KI,1704663204
